id,item_count,total_item_price,total_payment_value,total_freight_value,review_score,order_purchase_month,order_purchase_day,order_purchase_dayofweek,order_purchase_hour,order_purchase_time_day,until_shipped_waiting_hours,until_delivered_waiting_hours,total_package_volume,total_package_weight_g,delivery_efficiency,total_delivered_waiting_day,is_shipping_delayed,is_delivered_delayed,geo_distance,customer_state_region_type,seller_state_region_type,review_type,logistics_delay_hours,RFM_type,seller_level,product_type4,product_category6,package_kmeans,price_kmeans
5458,1,2,2,2,1,7,17,2,11,1,0,0,0,0,0,0,0,0,0,2,3,0,0,4,0,3,1,0,0
1426,1,0,0,0,4,7,3,2,9,0,0,1,0,0,1,1,0,0,0,3,3,1,1,2,1,3,1,0,3
9775,1,1,0,0,5,6,12,2,9,0,1,1,0,1,1,1,0,0,0,3,3,1,1,2,1,3,6,0,3
5481,1,1,2,2,2,4,23,0,13,1,0,0,0,0,0,0,0,0,2,4,3,0,0,1,1,4,1,0,3
6452,1,2,1,0,1,12,26,2,14,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,4,1,0,3
10222,1,2,2,0,5,1,3,3,7,0,1,1,0,1,1,1,0,0,0,2,2,1,1,4,1,3,1,0,3
7350,1,2,2,2,1,11,7,2,15,1,0,0,2,2,0,0,0,0,1,3,3,0,0,3,0,2,2,0,0
2698,1,2,2,2,1,5,29,1,18,1,0,0,2,2,0,0,0,0,0,3,3,0,0,3,0,3,5,0,0
2677,2,0,0,2,4,6,25,1,12,1,1,1,2,2,1,1,0,0,0,3,3,1,1,2,0,3,4,0,3
7133,2,2,2,1,5,5,14,1,8,0,1,1,1,0,1,1,0,0,0,3,3,1,1,4,0,3,1,0,0
1035,1,2,2,1,5,8,25,6,22,0,1,1,2,2,1,1,0,0,0,3,3,1,1,4,0,3,5,0,0
7584,1,0,0,0,3,8,24,4,12,1,1,0,0,0,0,0,0,0,0,3,3,0,0,1,1,3,1,0,3
8816,1,0,0,0,5,6,4,1,10,1,1,1,1,0,1,1,0,0,0,3,3,1,1,2,0,3,5,0,3
9187,1,0,0,0,1,4,16,1,20,1,1,1,2,1,1,1,0,0,0,3,3,0,1,2,1,3,4,2,3
9476,1,0,0,0,5,8,28,1,9,0,1,1,1,0,1,1,0,0,0,3,3,1,1,1,1,3,2,0,3
1421,1,2,2,0,4,1,9,2,19,1,1,1,1,0,1,1,0,0,0,3,3,1,1,4,1,1,2,0,3
8723,1,1,0,0,1,5,21,1,22,0,0,0,1,1,0,0,0,0,0,3,3,0,0,2,1,3,5,0,3
1566,1,1,1,2,5,5,2,3,9,0,1,0,1,2,0,0,0,0,1,3,3,1,0,2,1,3,5,0,3
325,1,2,2,2,1,10,5,3,22,0,0,0,1,2,0,0,0,0,2,3,4,0,0,3,0,1,3,0,0
3859,1,1,1,0,1,2,25,6,15,1,0,0,2,0,0,0,0,0,1,3,3,0,0,1,0,1,1,0,3
10864,1,1,1,0,1,3,14,2,9,0,0,0,2,1,0,0,0,0,0,3,3,0,0,1,0,2,6,0,3
3363,1,2,2,0,5,4,23,1,10,1,0,1,1,1,1,1,0,0,0,3,3,1,1,4,0,3,5,0,0
7498,1,1,1,0,4,10,23,1,10,1,1,1,0,2,1,1,0,0,0,3,3,1,1,1,0,3,2,0,3
9609,2,1,1,1,5,5,10,4,14,1,0,1,1,0,1,1,0,0,0,3,3,1,1,2,1,1,5,0,3
9527,1,2,1,0,4,8,12,0,10,1,1,1,0,0,1,1,0,0,0,3,3,1,1,2,0,3,4,0,3
6130,1,1,1,1,1,8,5,0,3,0,0,0,0,0,0,0,0,0,1,3,3,0,0,2,0,3,6,0,3
2999,1,2,1,0,5,4,25,3,9,0,1,1,0,0,1,1,0,0,0,3,3,1,1,2,1,4,1,0,3
9524,1,0,0,0,5,10,23,1,9,0,1,1,0,1,1,1,0,0,0,3,3,1,1,1,1,4,1,0,3
6052,1,0,0,0,5,8,16,4,10,1,1,1,2,0,1,1,0,0,0,3,3,1,1,2,0,3,4,0,3
7355,1,0,1,2,1,4,30,0,15,1,0,0,1,1,0,0,0,0,2,1,3,0,0,1,0,3,5,0,3
2279,1,1,1,2,1,4,27,5,21,1,0,0,2,2,0,0,0,0,0,3,3,0,0,2,0,3,5,1,3
9825,1,1,1,0,1,2,14,3,3,0,0,0,1,1,0,0,0,0,1,3,3,0,0,2,0,3,5,0,3
10420,1,2,2,0,5,7,9,1,20,1,1,1,1,2,1,1,0,0,0,3,3,1,1,4,0,2,6,0,0
8074,1,1,1,1,5,8,21,2,9,0,1,1,0,1,1,1,0,0,0,2,2,1,1,2,0,3,5,0,3
11598,1,0,0,0,5,3,28,3,10,1,1,1,2,2,1,1,0,0,0,3,3,1,1,2,1,4,1,0,3
10259,1,1,0,0,1,4,19,3,12,1,1,0,1,0,0,0,0,0,2,2,2,0,0,1,1,3,1,0,3
